001  00238 |Loss: 1.797 | Acc: 34.910%
001  00239 |Loss: 1.795 | Acc: 34.976%
001  00240 |Loss: 1.792 | Acc: 35.088%
001  00241 |Loss: 1.792 | Acc: 35.147%
001  00242 |Loss: 1.790 | Acc: 35.208%
001  00243 |Loss: 1.789 | Acc: 35.259%
001  00244 |Loss: 1.789 | Acc: 35.288%
001  00245 |Loss: 1.788 | Acc: 35.341%
001  00246 |Loss: 1.787 | Acc: 35.385%
001  00247 |Loss: 1.788 | Acc: 35.359%
001  00248 |Loss: 1.787 | Acc: 35.402%
001  00249 |Loss: 1.787 | Acc: 35.401%
001  00250 |Loss: 1.789 | Acc: 35.350%
001  00251 |Loss: 1.789 | Acc: 35.402%
001  00252 |Loss: 1.789 | Acc: 35.311%
001  00253 |Loss: 1.788 | Acc: 35.385%
001  00254 |Loss: 1.786 | Acc: 35.442%
001  00255 |Loss: 1.785 | Acc: 35.527%
001  00256 |Loss: 1.783 | Acc: 35.583%
001  00257 |Loss: 1.782 | Acc: 35.618%
001  00258 |Loss: 1.780 | Acc: 35.704%
001  00259 |Loss: 1.781 | Acc: 35.675%
001  00260 |Loss: 1.781 | Acc: 35.730%
001  00261 |Loss: 1.781 | Acc: 35.764%
001  00262 |Loss: 1.781 | Acc: 35.824%
001  00263 |Loss: 1.782 | Acc: 35.801%
001  00264 |Loss: 1.780 | Acc: 35.869%
001  00265 |Loss: 1.778 | Acc: 35.943%
001  00266 |Loss: 1.778 | Acc: 35.958%
001  00267 |Loss: 1.777 | Acc: 36.046%
001  00268 |Loss: 1.776 | Acc: 36.104%
001  00269 |Loss: 1.774 | Acc: 36.167%
001  00270 |Loss: 1.772 | Acc: 36.241%
001  00271 |Loss: 1.771 | Acc: 36.283%
001  00272 |Loss: 1.772 | Acc: 36.256%
001  00273 |Loss: 1.771 | Acc: 36.278%
001  00274 |Loss: 1.770 | Acc: 36.325%
001  00275 |Loss: 1.772 | Acc: 36.293%
001  00276 |Loss: 1.771 | Acc: 36.365%
001  00277 |Loss: 1.770 | Acc: 36.380%
001  00278 |Loss: 1.771 | Acc: 36.342%
001  00279 |Loss: 1.772 | Acc: 36.332%
001  00280 |Loss: 1.770 | Acc: 36.381%
001  00281 |Loss: 1.768 | Acc: 36.457%
001  00282 |Loss: 1.767 | Acc: 36.533%
001  00283 |Loss: 1.764 | Acc: 36.630%
001  00284 |Loss: 1.765 | Acc: 36.633%
001  00285 |Loss: 1.763 | Acc: 36.713%
001  00286 |Loss: 1.763 | Acc: 36.746%
001  00287 |Loss: 1.762 | Acc: 36.806%
001  00288 |Loss: 1.762 | Acc: 36.814%
001  00289 |Loss: 1.761 | Acc: 36.862%
001  00290 |Loss: 1.762 | Acc: 36.862%
001  00291 |Loss: 1.761 | Acc: 36.907%
001  00292 |Loss: 1.760 | Acc: 36.962%
001  00293 |Loss: 1.759 | Acc: 37.020%
001  00294 |Loss: 1.757 | Acc: 37.085%
001  00295 |Loss: 1.757 | Acc: 37.121%
001  00296 |Loss: 1.756 | Acc: 37.173%
001  00297 |Loss: 1.754 | Acc: 37.234%
001  00298 |Loss: 1.753 | Acc: 37.254%
